Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,Year-additional
1914,19,BOS,AL,5,10,-1,0,0,0,1,0,0.0,0,0,0.0,.503,.500,0.0,0.0,0,$350,/1H,,-9999
1915,20,BOS,AL,42,103,8,0,0,0,7,16,1.7,0,16,1.7,.541,.511,1.7,0.0,16,$2500,1H,,-9999
1916,21,BOS,AL,67,152,3,0,0,0,10,13,1.5,1,14,1.6,.523,.510,1.6,0.0,14,$3500,1H,,-9999
1917,22,BOS,AL,52,142,8,0,0,0,9,18,2.1,0,18,2.1,.540,.513,2.1,0.0,18,$3500,1H,,-9999
1918,23,BOS,AL,95,382,33,0,0,1,-3,30,3.6,14,45,4.7,.538,.522,4.6,-0.3,44,$5000,7138/H,,-9999
1919,24,BOS,AL,130,543,67,0,0,7,-6,68,7.4,20,89,9.1,.556,.545,8.3,0.2,82,,*71/38H,,-9999
1920,25,NYY,AL,142,617,109,-2,0,1,-7,102,9.6,23,125,11.9,.568,.559,11.8,-0.5,124,$20000,*978/31H,,-9999
1921,26,NYY,AL,152,693,116,-1,0,6,-7,115,10.4,25,140,12.9,.568,.564,12.2,0.0,134,$20000,*78/31H,,-9999
1922,27,NYY,AL,110,496,48,-1,0,5,-5,47,4.5,18,65,6.4,.541,.528,5.9,-0.1,60,$52000,*79/3,,-9999
1923,28,NYY,AL,152,697,114,-4,0,19,-7,122,11.5,25,147,14.2,.576,.572,12.3,1.2,128,$52000,*97/83,MVP-1,-9999
1924,29,NYY,AL,153,681,100,-3,0,9,-7,99,9.2,25,124,11.8,.560,.556,10.8,0.2,115,$52000,*97/8H,,-9999
1925,30,NYY,AL,98,426,18,0,0,7,-5,20,1.9,16,36,3.5,.519,.512,2.9,0.2,29,$52000,97,,-9999
1926,31,NYY,AL,152,652,97,-1,0,5,-7,95,9.0,25,119,11.6,.559,.556,11.1,-0.2,114,$52000,*79/H3,,-9999
1927,32,NYY,AL,151,691,102,1,0,12,-7,107,10.0,25,132,12.6,.566,.562,11.4,0.5,120,$70000,*97,,-9999
1928,33,NYY,AL,154,684,84,0,0,2,-7,79,7.6,25,104,10.2,.549,.547,9.9,-0.5,102,$70000,*97,,-9999
1929,34,NYY,AL,135,587,67,1,0,1,-6,62,5.7,22,84,8.1,.543,.536,7.9,-0.5,83,$70000,*97/H,,-9999
1930,35,NYY,AL,145,676,96,-1,0,2,-7,91,7.8,24,114,10.3,.554,.549,10.0,-0.4,112,$80000,*97/1,,-9999
1931,36,NYY,AL,145,663,97,2,2,-2,-7,92,8.2,24,116,10.5,.557,.551,10.7,-0.8,118,$80000,*97/H3,MVP-5,-9999
1932,37,NYY,AL,133,589,75,3,0,0,-6,72,6.3,22,94,8.5,.549,.540,8.5,-0.6,94,$75000,*97/H3,MVP-6,-9999
1933,38,NYY,AL,137,576,53,1,-2,0,-6,46,4.2,22,67,6.3,.532,.527,6.3,-0.6,67,$52000,*97/H31,AS,-9999
1934,39,NYY,AL,125,472,37,-2,0,6,-5,36,3.3,18,54,5.0,.527,.521,4.5,0.1,48,$35000,*97H,AS,-9999
1935,40,BSN,NL,28,92,2,-1,0,-2,-1,-2,-0.2,3,1,0.1,.493,.499,0.3,-0.3,3,,7/9H,,-9999
22 Seasons,22 Seasons,22 Seasons,,2503,10624,1333,-8,0,79,-78,1326,125.3,377,1703,162.7,.550,.543,155.0,-2.3,1624,$846850,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,,162,688,86,-1,0,5,-5,86,8.1,24,110,10.5,.550,.543,10.0,-0.1,105,,,,bat_glossary.shtml#162_avg
NYY (15 yrs),NYY (15 yrs),NYY (15 yrs),,2084,9200,1212,-7,0,73,-95,1184,109.3,338,1521,143.4,.553,.547,136.4,-1.9,1448,$832000,,,-9999
BOS (6 yrs),BOS (6 yrs),BOS (6 yrs),,391,1332,118,0,0,8,18,145,16.2,36,181,19.2,.541,.525,18.4,-0.1,173,$14850,,,-9999
BSN (1 yr),BSN (1 yr),BSN (1 yr),,28,92,2,-1,0,-2,-1,-2,-0.2,3,1,0.1,.493,.499,0.3,-0.3,3,,,,-9999
