Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards,Year-additional
1907,19,WSH,AL,110.1,14,12,35,2.85,3.72,-0.44,0.00,95.9,4.00,14,1.8,1.00,-0.1,2.8,23,.628,.511,$1050,,-9999
1908,20,WSH,AL,256.1,36,30,75,2.63,3.44,-0.04,0.00,96.0,3.34,19,2.5,1.00,-0.2,4.8,39,.570,.516,$2700,,-9999
1909,21,WSH,AL,296.1,40,36,112,3.40,3.56,-0.13,0.00,99.2,3.66,11,1.5,1.00,-0.3,4.1,31,.537,.509,$3500,,-9999
1910,22,WSH,AL,370.0,45,42,92,2.24,3.61,0.12,0.00,98.5,3.44,53,7.1,1.00,-0.4,10.4,81,.658,.544,$4500,,-9999
1911,23,WSH,AL,322.2,40,37,119,3.32,4.71,-0.10,0.00,98.9,4.76,50,5.5,1.00,-0.3,8.5,86,.637,.534,$7000,MVP-5,-9999
1912,24,WSH,AL,369.1,50,37,89,2.17,4.51,0.32,0.00,101.4,4.25,84,9.8,1.00,-0.4,13.2,124,.696,.560,$7000,MVP-3,-9999
1913,25,WSH,AL,346.1,48,36,56,1.46,4.06,0.30,0.00,100.7,3.79,91,11.9,1.00,-0.4,15.1,121,.748,.574,$7000,MVP-1,-9999
1914,26,WSH,AL,371.2,51,40,88,2.13,3.69,0.19,0.00,102.0,3.56,61,8.2,1.00,-0.2,11.7,91,.661,.551,$10000,,-9999
1915,27,WSH,AL,336.2,47,39,83,2.22,4.09,0.15,0.00,100.9,3.98,67,8.5,1.65,-0.3,11.6,97,.680,.552,$12500,,-9999
1916,28,WSH,AL,369.2,48,38,105,2.56,3.71,-0.02,0.00,99.5,3.71,49,6.5,1.64,-0.1,10.0,79,.635,.540,$12500,,-9999
1917,29,WSH,AL,327.1,47,34,105,2.89,3.69,-0.04,0.00,99.4,3.71,29,3.8,1.96,-0.1,7.0,57,.581,.523,$12500,,-9999
1918,30,WSH,AL,326.0,39,29,71,1.96,3.64,0.11,0.00,97.3,3.43,53,7.3,1.53,-0.2,10.4,81,.688,.545,$9500,,-9999
1919,31,WSH,AL,290.2,39,29,73,2.26,4.10,-0.24,0.00,98.4,4.26,62,7.8,1.47,-0.2,10.6,92,.700,.548,$9500,,-9999
1920,32,WSH,AL,143.2,21,15,68,4.26,4.84,-0.21,0.00,98.1,4.95,10,1.1,1.04,-0.1,2.4,27,.551,.507,$12000,,-9999
1921,33,WSH,AL,264.0,35,32,122,4.16,5.19,-0.01,0.00,96.2,5.00,23,2.2,1.37,-0.2,4.8,56,.564,.514,$12000,,-9999
1922,34,WSH,AL,280.0,41,31,115,3.70,4.80,0.13,0.00,95.8,4.47,26,2.7,1.39,-0.2,5.4,55,.566,.517,$12000,MVP-17,-9999
1923,35,WSH,AL,260.2,42,34,112,3.87,4.87,0.16,0.00,95.3,4.48,18,1.8,2.42,-0.1,4.4,47,.544,.511,$12000,MVP-20,-9999
1924,36,WSH,AL,277.2,38,38,97,3.14,5.05,0.32,0.00,95.8,4.53,40,4.1,,-0.2,6.8,75,.609,.525,$12000,MVP-1,-9999
1925,37,WSH,AL,229.0,30,29,95,3.73,5.24,0.26,0.00,97.3,4.84,28,2.7,.57,-0.1,4.9,56,.591,.517,$20000,,-9999
1926,38,WSH,AL,260.2,33,33,120,4.14,4.70,-0.11,0.00,95.5,4.59,13,1.3,,-0.1,3.8,42,.540,.508,$20000,,-9999
1927,39,WSH,AL,107.2,18,15,70,5.85,4.70,0.11,0.00,98.6,4.52,-16,-1.5,.40,0.0,-0.4,-4,.418,.491,$20000,,-9999
21 Seasons,21 Seasons,21 Seasons,,5916.2,802,666,1902,2.89,4.22,0.07,0.00,98.4,4.09,785,96.7,1.36,-4.1,152.3,1356,.621,.532,$219250,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,,274,37,31,88,2.89,4.22,0.07,0.00,98.4,4.09,36,4.5,1.36,-0.2,7.1,63,.621,.532,,,pitch_glossary.shtml#162_avg
